id,n_tokens,n_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,token0_box,token1_box,axe0_box,axe1_box,response_time_sender,response_time_interpreter
5674,2,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,4070,4439
5664,1,2,1,2,1,banana,banana,scorpion,2,NA,2,NA,3981,4643
5665,1,1,0,2,1,scorpion,banana,banana,2,NA,2,NA,3280,3272
5666,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3206,4111
5687,2,1,0,2,1,banana,scorpion,banana,2,0,1,NA,4477,6019
5677,2,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,2713,3228
5622,1,2,0,2,1,scorpion,banana,banana,0,NA,0,NA,6817,1989
5623,1,1,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,10034,2918
5684,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4931,3756
5686,2,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3429,2340
5690,1,2,0,2,1,banana,scorpion,banana,1,NA,1,NA,4262,3390
5680,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,2925,4305
5682,1,2,1,2,1,banana,scorpion,banana,0,NA,0,NA,3166,6633
5626,1,1,1,2,1,banana,banana,scorpion,0,NA,0,NA,5366,5509
5689,1,1,1,2,1,scorpion,banana,banana,2,NA,2,NA,3690,5939
5706,2,1,1,2,1,scorpion,banana,banana,1,2,1,NA,6625,3403
5508,2,2,0,2,1,banana,scorpion,banana,2,0,0,2,4076,5177
5683,2,1,1,2,1,banana,banana,scorpion,1,NA,1,NA,4755,3063
5691,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3833,3935
5642,2,2,1,2,1,banana,scorpion,banana,2,0,0,2,12276,2807
5703,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,4327,2031
5646,1,1,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,2521,5043
5640,2,2,0,2,1,scorpion,banana,banana,1,2,2,1,7773,5075
5709,2,2,1,2,1,banana,scorpion,banana,2,0,2,0,4446,5025
5647,1,1,0,2,1,scorpion,banana,banana,1,NA,1,NA,1952,3000
5639,1,2,1,2,1,banana,scorpion,banana,1,NA,2,0,4087,8115
5645,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,8297,5441
5736,2,2,0,2,1,banana,scorpion,banana,2,0,0,2,7567,5346
5726,1,1,0,2,1,banana,banana,scorpion,0,NA,0,NA,3330,5599
5715,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4993,6122
5727,1,2,1,2,1,banana,scorpion,banana,1,NA,1,2,32810,5592
5722,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3504,6942
5723,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,6049,3601
5732,2,1,1,2,1,banana,scorpion,banana,2,0,0,NA,5530,3396
5738,2,2,1,2,1,banana,banana,scorpion,1,0,0,1,5186,7027
5746,1,2,0,2,1,scorpion,banana,banana,1,NA,1,NA,3619,5949
5731,1,1,1,2,1,banana,banana,scorpion,2,NA,2,NA,3813,8221
5742,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3123,4631
5739,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3674,3706
5735,1,2,1,2,1,banana,scorpion,banana,1,NA,0,2,4950,8969
5728,1,2,0,2,1,banana,scorpion,banana,0,NA,0,NA,5168,1797
5734,1,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,2626,2619
5747,1,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,3849,4882
5743,1,1,0,2,1,banana,scorpion,banana,2,NA,2,NA,2609,5288
5741,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4675,6266
5758,2,1,1,2,1,banana,banana,scorpion,1,0,0,NA,24172,4375
5879,1,2,0,1,2,scorpion,banana,scorpion,NA,NA,2,NA,18351,8567
5745,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,3237,4918
5695,2,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,18658,2653
5694,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,4306,2769
5699,1,2,1,2,1,banana,scorpion,banana,1,NA,1,NA,4809,1949
5751,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3312,5667
5750,1,2,1,2,1,banana,scorpion,banana,1,NA,2,0,3516,5923
5701,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,5616,3510
5582,1,2,0,2,1,banana,scorpion,banana,2,NA,2,NA,3611,2000
5698,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3245,1723
5697,1,1,1,2,1,banana,scorpion,banana,2,NA,2,NA,12819,4949
5786,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,4135,5798
5782,1,1,1,2,1,scorpion,banana,banana,1,NA,1,NA,17712,11935
5788,2,1,1,2,1,scorpion,banana,banana,2,1,2,NA,5283,4229
5779,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,3039,4156
5785,2,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3858,3629
5790,2,2,1,2,1,banana,scorpion,banana,2,0,2,0,4838,5504
5907,1,1,1,2,1,banana,banana,scorpion,1,NA,1,NA,6466,3926
5456,2,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,36595,4323
5783,1,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,2938,3793
5792,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3152,2833
5781,1,2,0,2,1,scorpion,banana,banana,1,NA,1,NA,30839,3783
5794,1,2,0,2,1,scorpion,banana,banana,1,NA,1,NA,3535,2778
